Id,From_id,To_id,Tp_base,PSA_id
331,42,108,0.005092902,0
332,42,109,0.024516635,0
333,44,45,1,0
334,45,46,1,0
335,46,47,1,0
336,47,48,1,0
337,48,49,1,0
338,49,50,1,0
339,50,51,1,0
340,51,52,1,0
341,52,53,1,0
342,53,54,1,0
343,54,55,1,0
344,55,56,1,0
345,56,57,1,0
346,57,58,1,0
347,58,59,1,0
348,59,60,1,0
349,60,61,1,0
350,61,62,1,0
351,62,63,1,0
352,63,64,1,0
353,64,65,1,0
354,65,66,1,0
355,66,67,1,0
356,67,68,1,0
357,68,69,1,0
358,69,70,1,0
359,70,71,1,0
360,71,72,1,0
361,72,73,1,0
362,73,74,1,0
363,74,75,1,0
364,75,76,1,0
365,76,77,1,0
366,77,78,1,0
367,78,79,1,0
368,79,80,1,0
369,80,81,1,0
370,81,82,1,0
371,82,83,1,0
372,83,84,1,0
373,84,85,1,0
374,85,86,1,0
375,86,87,1,0
376,87,88,1,0
377,88,89,1,0
378,89,90,1,0
379,90,91,1,0
380,91,92,1,0
381,92,93,1,0
382,93,94,1,0
383,94,95,1,0
384,95,96,1,0
385,96,97,1,0
386,97,98,1,0
387,98,99,1,0
388,99,100,1,0
389,100,101,1,0
390,101,102,1,0
391,102,103,1,0
392,103,104,1,0
393,104,105,1,0
394,105,106,1,0
395,106,107,1,0
396,107,108,1,0
397,108,109,1,0
398,109,110,1,0
399,110,111,1,0
400,111,112,1,0
401,112,113,1,0
402,113,114,1,0
403,114,115,1,0
404,115,116,1,0
405,116,117,1,0
406,117,118,1,0
407,118,119,1,0
408,119,120,1,0
409,120,121,1,0
410,121,122,1,0
411,122,123,1,0
412,123,124,1,0
413,124,125,1,0
414,125,126,1,0
415,126,127,1,0
416,127,128,1,0
417,128,129,1,0
418,129,130,1,0
419,130,131,1,0
420,131,132,1,0
421,132,133,1,0
422,133,134,1,0
423,134,134,1,0
424,135,135,1,0
