Id,In_state_id,From_state_id,To_state_id,Adjustment,Effected_model_id,PSA_id
0,25,2,3,1.8,0,41
1,26,2,3,2.5,0,42
2,30,2,3,0.93,0,39
3,31,2,3,1.67,0,40
4,39,2,3,2,0,43
5,25,2,4,1.8,0,41
6,26,2,4,2.5,0,42
7,30,2,4,0.93,0,39
8,31,2,4,1.67,0,40
9,39,2,4,2,0,43
10,25,2,5,1.8,0,41
11,26,2,5,2.5,0,42
12,30,2,5,0.93,0,39
13,31,2,5,1.67,0,40
14,39,2,5,2,0,43
15,44,2,8,0.08552714,0,0
16,45,2,8,0.08552714,0,0
17,46,2,8,0.08552714,0,0
18,47,2,8,0.08552714,0,0
19,48,2,8,0.08552714,0,0
20,49,2,8,0.09344572,0,0
21,50,2,8,0.09344572,0,0
22,51,2,8,0.09344572,0,0
23,52,2,8,0.09344572,0,0
24,53,2,8,0.09344572,0,0
25,54,2,8,0.10473965,0,0
26,55,2,8,0.10473965,0,0
27,56,2,8,0.10473965,0,0
28,57,2,8,0.10473965,0,0
29,58,2,8,0.10473965,0,0
30,59,2,8,0.12756095,0,0
31,60,2,8,0.12756095,0,0
32,61,2,8,0.12756095,0,0
33,62,2,8,0.12756095,0,0
34,63,2,8,0.12756095,0,0
35,64,2,8,0.17787943,0,0
36,65,2,8,0.17787943,0,0
37,66,2,8,0.17787943,0,0
38,67,2,8,0.17787943,0,0
39,68,2,8,0.17787943,0,0
40,69,2,8,0.27476942,0,0
41,70,2,8,0.27476942,0,0
42,71,2,8,0.27476942,0,0
43,72,2,8,0.27476942,0,0
44,73,2,8,0.27476942,0,0
45,74,2,8,0.4112448,0,0
46,75,2,8,0.4112448,0,0
47,76,2,8,0.4112448,0,0
48,77,2,8,0.4112448,0,0
49,78,2,8,0.4112448,0,0
50,79,2,8,0.58270304,0,0
51,80,2,8,0.58270304,0,0
52,81,2,8,0.58270304,0,0
53,82,2,8,0.58270304,0,0
54,83,2,8,0.58270304,0,0
55,84,2,8,0.82195325,0,0
56,85,2,8,0.82195325,0,0
57,86,2,8,0.82195325,0,0
58,87,2,8,0.82195325,0,0
59,88,2,8,0.82195325,0,0
60,89,2,8,1.24193656,0,0
61,90,2,8,1.24193656,0,0
62,91,2,8,1.24193656,0,0
63,92,2,8,1.24193656,0,0
64,93,2,8,1.24193656,0,0
65,94,2,8,1.90872407,0,0
66,95,2,8,1.90872407,0,0
67,96,2,8,1.90872407,0,0
68,97,2,8,1.90872407,0,0
69,98,2,8,1.90872407,0,0
70,99,2,8,3.0382911,0,0
71,100,2,8,3.0382911,0,0
72,101,2,8,3.0382911,0,0
73,102,2,8,3.0382911,0,0
74,103,2,8,3.0382911,0,0
75,104,2,8,4.95246782,0,0
76,105,2,8,4.95246782,0,0
77,106,2,8,4.95246782,0,0
78,107,2,8,4.95246782,0,0
79,108,2,8,4.95246782,0,0
80,109,2,8,11.16249029,0,0
81,110,2,8,11.16249029,0,0
82,111,2,8,11.16249029,0,0
83,112,2,8,11.16249029,0,0
84,113,2,8,11.16249029,0,0
85,114,2,8,11.16249029,0,0
86,115,2,8,11.16249029,0,0
87,116,2,8,11.16249029,0,0
88,117,2,8,11.16249029,0,0
89,118,2,8,11.16249029,0,0
90,119,2,8,11.16249029,0,0
91,120,2,8,11.16249029,0,0
92,121,2,8,11.16249029,0,0
93,122,2,8,11.16249029,0,0
94,123,2,8,11.16249029,0,0
95,124,2,8,11.16249029,0,0
96,125,2,8,11.16249029,0,0
97,126,2,8,11.16249029,0,0
98,127,2,8,11.16249029,0,0
99,128,2,8,11.16249029,0,0
100,129,2,8,11.16249029,0,0
101,130,2,8,11.16249029,0,0
102,131,2,8,11.16249029,0,0
103,132,2,8,11.16249029,0,0
104,133,2,8,11.16249029,0,0
105,134,2,8,11.16249029,0,0
106,25,3,2,1,0,0
107,26,3,2,1,0,0
108,30,3,2,1,0,0
109,31,3,2,1,0,0
110,39,3,2,1,0,0
111,25,3,4,1.8,0,41
112,26,3,4,2.5,0,42
113,30,3,4,0.93,0,39
114,31,3,4,1.67,0,40
115,39,3,4,2,0,43
116,25,3,5,1.8,0,41
117,26,3,5,2.5,0,42
118,30,3,5,0.93,0,39
119,31,3,5,1.67,0,40
120,39,3,5,2,0,43
121,44,3,8,0.08552714,0,0
122,45,3,8,0.08552714,0,0
123,46,3,8,0.08552714,0,0
124,47,3,8,0.08552714,0,0
125,48,3,8,0.08552714,0,0
126,49,3,8,0.09344572,0,0
127,50,3,8,0.09344572,0,0
128,51,3,8,0.09344572,0,0
129,52,3,8,0.09344572,0,0
130,53,3,8,0.09344572,0,0
131,54,3,8,0.10473965,0,0
132,55,3,8,0.10473965,0,0
133,56,3,8,0.10473965,0,0
134,57,3,8,0.10473965,0,0
135,58,3,8,0.10473965,0,0
136,59,3,8,0.12756095,0,0
137,60,3,8,0.12756095,0,0
138,61,3,8,0.12756095,0,0
139,62,3,8,0.12756095,0,0
140,63,3,8,0.12756095,0,0
141,64,3,8,0.17787943,0,0
142,65,3,8,0.17787943,0,0
143,66,3,8,0.17787943,0,0
144,67,3,8,0.17787943,0,0
145,68,3,8,0.17787943,0,0
146,69,3,8,0.27476942,0,0
147,70,3,8,0.27476942,0,0
148,71,3,8,0.27476942,0,0
149,72,3,8,0.27476942,0,0
150,73,3,8,0.27476942,0,0
151,74,3,8,0.4112448,0,0
152,75,3,8,0.4112448,0,0
153,76,3,8,0.4112448,0,0
154,77,3,8,0.4112448,0,0
155,78,3,8,0.4112448,0,0
156,79,3,8,0.58270304,0,0
157,80,3,8,0.58270304,0,0
158,81,3,8,0.58270304,0,0
159,82,3,8,0.58270304,0,0
160,83,3,8,0.58270304,0,0
161,84,3,8,0.82195325,0,0
162,85,3,8,0.82195325,0,0
163,86,3,8,0.82195325,0,0
164,87,3,8,0.82195325,0,0
165,88,3,8,0.82195325,0,0
166,89,3,8,1.24193656,0,0
167,90,3,8,1.24193656,0,0
168,91,3,8,1.24193656,0,0
169,92,3,8,1.24193656,0,0
170,93,3,8,1.24193656,0,0
171,94,3,8,1.90872407,0,0
172,95,3,8,1.90872407,0,0
173,96,3,8,1.90872407,0,0
174,97,3,8,1.90872407,0,0
175,98,3,8,1.90872407,0,0
176,99,3,8,3.0382911,0,0
177,100,3,8,3.0382911,0,0
178,101,3,8,3.0382911,0,0
179,102,3,8,3.0382911,0,0
180,103,3,8,3.0382911,0,0
181,104,3,8,4.95246782,0,0
182,105,3,8,4.95246782,0,0
183,106,3,8,4.95246782,0,0
184,107,3,8,4.95246782,0,0
