Id,Age_state_id,Sex_state_id,Life_expectancy
0,46,34,25.98089896
1,47,34,25.98089896
2,48,34,25.98089896
3,49,34,25.98089896
4,50,34,25.98089896
5,51,34,24.96638128
6,52,34,24.96638128
7,53,34,24.96638128
8,54,34,24.96638128
9,55,34,24.96638128
10,56,34,23.83209221
11,57,34,23.83209221
12,58,34,23.83209221
13,59,34,23.83209221
14,60,34,23.83209221
15,61,34,22.56003285
16,62,34,22.56003285
17,63,34,22.56003285
18,64,34,22.56003285
19,65,34,22.56003285
20,66,34,21.14356433
21,67,34,21.14356433
22,68,34,21.14356433
23,69,34,21.14356433
24,70,34,21.14356433
25,71,34,19.58396188
26,72,34,19.58396188
27,73,34,19.58396188
28,74,34,19.58396188
29,75,34,19.58396188
30,76,34,17.88449563
31,77,34,17.88449563
32,78,34,17.88449563
33,79,34,17.88449563
34,80,34,17.88449563
35,81,34,16.04534867
36,82,34,16.04534867
37,83,34,16.04534867
38,84,34,16.04534867
39,85,34,16.04534867
40,86,34,14.08085726
41,87,34,14.08085726
42,88,34,14.08085726
43,89,34,14.08085726
44,90,34,14.08085726
45,91,34,12.04200397
46,92,34,12.04200397
47,93,34,12.04200397
48,94,34,12.04200397
49,95,34,12.04200397
50,96,34,9.96762302
51,97,34,9.96762302
52,98,34,9.96762302
53,99,34,9.96762302
54,100,34,9.96762302
55,101,34,7.911860793
56,102,34,7.911860793
57,103,34,7.911860793
58,104,34,7.911860793
59,105,34,7.911860793
60,106,34,5.94244856
61,107,34,5.94244856
62,108,34,5.94244856
63,109,34,5.94244856
64,110,34,5.94244856
65,111,34,4.1587541
66,112,34,4.1587541
67,113,34,4.1587541
68,114,34,4.1587541
69,115,34,4.1587541
70,116,34,2.750824314
71,117,34,2.750824314
72,118,34,2.750824314
73,119,34,2.750824314
74,120,34,2.750824314
75,121,34,1.789047036
76,122,34,1.789047036
77,123,34,1.789047036
78,124,34,1.789047036
79,125,34,1.789047036
80,126,34,1.188613441
81,127,34,1.188613441
82,128,34,1.188613441
83,129,34,1.188613441
84,130,34,1.188613441
85,131,34,0.970873786
86,132,34,0.970873786
87,133,34,0.970873786
88,134,34,0.970873786
89,135,34,0.970873786
90,136,34,0.970873786
91,46,35,25.2749299
92,47,35,25.2749299
93,48,35,25.2749299
94,49,35,25.2749299
95,50,35,25.2749299
96,51,35,24.2003443
97,52,35,24.2003443
98,53,35,24.2003443
99,54,35,24.2003443
100,55,35,24.2003443
101,56,35,22.98877711
102,57,35,22.98877711
103,58,35,22.98877711
104,59,35,22.98877711
105,60,35,22.98877711
106,61,35,21.6162622
107,62,35,21.6162622
108,63,35,21.6162622
109,64,35,21.6162622
110,65,35,21.6162622
111,66,35,20.08469763
112,67,35,20.08469763
113,68,35,20.08469763
114,69,35,20.08469763
115,70,35,20.08469763
116,71,35,18.41226144
117,72,35,18.41226144
118,73,35,18.41226144
119,74,35,18.41226144
120,75,35,18.41226144
121,76,35,16.61430939
122,77,35,16.61430939
123,78,35,16.61430939
124,79,35,16.61430939
125,80,35,16.61430939
126,81,35,14.71414051
127,82,35,14.71414051
128,83,35,14.71414051
129,84,35,14.71414051
130,85,35,14.71414051
131,86,35,12.71598624
132,87,35,12.71598624
133,88,35,12.71598624
134,89,35,12.71598624
135,90,35,12.71598624
136,91,35,10.68784476
137,92,35,10.68784476
138,93,35,10.68784476
139,94,35,10.68784476
140,95,35,10.68784476
141,96,35,8.680466462
142,97,35,8.680466462
143,98,35,8.680466462
144,99,35,8.680466462
145,100,35,8.680466462
146,101,35,6.767081235
147,102,35,6.767081235
148,103,35,6.767081235
149,104,35,6.767081235
150,105,35,6.767081235
151,106,35,5.018548938
152,107,35,5.018548938
153,108,35,5.018548938
154,109,35,5.018548938
155,110,35,5.018548938
156,111,35,3.470987491
157,112,35,3.470987491
158,113,35,3.470987491
159,114,35,3.470987491
160,115,35,3.470987491
161,116,35,2.268544659
162,117,35,2.268544659
163,118,35,2.268544659
164,119,35,2.268544659
165,120,35,2.268544659
166,121,35,1.461966255
167,122,35,1.461966255
168,123,35,1.461966255
169,124,35,1.461966255
170,125,35,1.461966255
171,126,35,0.970873786
172,127,35,0.970873786
173,128,35,0.970873786
174,129,35,0.970873786
175,130,35,0.970873786
176,131,35,0.970873786
177,132,35,0.970873786
178,133,35,0.970873786
179,134,35,0.970873786
180,135,35,0.970873786
181,136,35,0.970873786
