Id,In_state_id,From_state_id,To_state_id,Adjustment,Effected_model_id,PSA_id
0,25,2,3,1.8,0,41
1,26,2,3,2.5,0,42
2,31,2,3,0.93,0,39
3,32,2,3,1.67,0,40
4,41,2,3,2,0,43
5,25,2,4,1.8,0,41
6,26,2,4,2.5,0,42
7,31,2,4,0.93,0,39
8,32,2,4,1.67,0,40
9,41,2,4,2,0,43
10,25,2,5,1.8,0,41
11,26,2,5,2.5,0,42
12,31,2,5,0.93,0,39
13,32,2,5,1.67,0,40
14,41,2,5,2,0,43
15,46,2,8,0.08552714,0,0
16,47,2,8,0.08552714,0,0
17,48,2,8,0.08552714,0,0
18,49,2,8,0.08552714,0,0
19,50,2,8,0.08552714,0,0
20,51,2,8,0.09344572,0,0
21,52,2,8,0.09344572,0,0
22,53,2,8,0.09344572,0,0
23,54,2,8,0.09344572,0,0
24,55,2,8,0.09344572,0,0
25,56,2,8,0.10473965,0,0
26,57,2,8,0.10473965,0,0
27,58,2,8,0.10473965,0,0
28,59,2,8,0.10473965,0,0
29,60,2,8,0.10473965,0,0
30,61,2,8,0.12756095,0,0
31,62,2,8,0.12756095,0,0
32,63,2,8,0.12756095,0,0
33,64,2,8,0.12756095,0,0
34,65,2,8,0.12756095,0,0
35,66,2,8,0.17787943,0,0
36,67,2,8,0.17787943,0,0
37,68,2,8,0.17787943,0,0
38,69,2,8,0.17787943,0,0
39,70,2,8,0.17787943,0,0
40,71,2,8,0.27476942,0,0
41,72,2,8,0.27476942,0,0
42,73,2,8,0.27476942,0,0
43,74,2,8,0.27476942,0,0
44,75,2,8,0.27476942,0,0
45,76,2,8,0.4112448,0,0
46,77,2,8,0.4112448,0,0
47,78,2,8,0.4112448,0,0
48,79,2,8,0.4112448,0,0
49,80,2,8,0.4112448,0,0
50,81,2,8,0.58270304,0,0
51,82,2,8,0.58270304,0,0
52,83,2,8,0.58270304,0,0
53,84,2,8,0.58270304,0,0
54,85,2,8,0.58270304,0,0
55,86,2,8,0.82195325,0,0
56,87,2,8,0.82195325,0,0
57,88,2,8,0.82195325,0,0
58,89,2,8,0.82195325,0,0
59,90,2,8,0.82195325,0,0
60,91,2,8,1.24193656,0,0
61,92,2,8,1.24193656,0,0
62,93,2,8,1.24193656,0,0
63,94,2,8,1.24193656,0,0
64,95,2,8,1.24193656,0,0
65,96,2,8,1.90872407,0,0
66,97,2,8,1.90872407,0,0
67,98,2,8,1.90872407,0,0
68,99,2,8,1.90872407,0,0
69,100,2,8,1.90872407,0,0
70,101,2,8,3.0382911,0,0
71,102,2,8,3.0382911,0,0
72,103,2,8,3.0382911,0,0
73,104,2,8,3.0382911,0,0
74,105,2,8,3.0382911,0,0
75,106,2,8,4.95246782,0,0
76,107,2,8,4.95246782,0,0
77,108,2,8,4.95246782,0,0
78,109,2,8,4.95246782,0,0
79,110,2,8,4.95246782,0,0
80,111,2,8,11.16249029,0,0
81,112,2,8,11.16249029,0,0
82,113,2,8,11.16249029,0,0
83,114,2,8,11.16249029,0,0
84,115,2,8,11.16249029,0,0
85,116,2,8,11.16249029,0,0
86,117,2,8,11.16249029,0,0
87,118,2,8,11.16249029,0,0
88,119,2,8,11.16249029,0,0
89,120,2,8,11.16249029,0,0
90,121,2,8,11.16249029,0,0
91,122,2,8,11.16249029,0,0
92,123,2,8,11.16249029,0,0
93,124,2,8,11.16249029,0,0
94,125,2,8,11.16249029,0,0
95,126,2,8,11.16249029,0,0
96,127,2,8,11.16249029,0,0
97,128,2,8,11.16249029,0,0
98,129,2,8,11.16249029,0,0
99,130,2,8,11.16249029,0,0
100,131,2,8,11.16249029,0,0
101,132,2,8,11.16249029,0,0
102,133,2,8,11.16249029,0,0
103,134,2,8,11.16249029,0,0
104,135,2,8,11.16249029,0,0
105,136,2,8,11.16249029,0,0
106,25,3,2,0.555555556,0,0
107,26,3,2,0.4,0,0
108,31,3,2,1.075268817,0,0
109,32,3,2,0.598802395,0,0
110,41,3,2,0.5,0,0
111,25,3,4,1.8,0,41
112,26,3,4,2.5,0,42
113,31,3,4,0.93,0,39
114,32,3,4,1.67,0,40
115,41,3,4,2,0,43
116,25,3,5,1.8,0,41
117,26,3,5,2.5,0,42
118,31,3,5,0.93,0,39
119,32,3,5,1.67,0,40
120,41,3,5,2,0,43
121,46,3,8,0.08552714,0,0
122,47,3,8,0.08552714,0,0
123,48,3,8,0.08552714,0,0
124,49,3,8,0.08552714,0,0
125,50,3,8,0.08552714,0,0
126,51,3,8,0.09344572,0,0
127,52,3,8,0.09344572,0,0
128,53,3,8,0.09344572,0,0
129,54,3,8,0.09344572,0,0
130,55,3,8,0.09344572,0,0
131,56,3,8,0.10473965,0,0
132,57,3,8,0.10473965,0,0
133,58,3,8,0.10473965,0,0
134,59,3,8,0.10473965,0,0
135,60,3,8,0.10473965,0,0
136,61,3,8,0.12756095,0,0
137,62,3,8,0.12756095,0,0
138,63,3,8,0.12756095,0,0
139,64,3,8,0.12756095,0,0
140,65,3,8,0.12756095,0,0
141,66,3,8,0.17787943,0,0
142,67,3,8,0.17787943,0,0
143,68,3,8,0.17787943,0,0
144,69,3,8,0.17787943,0,0
145,70,3,8,0.17787943,0,0
146,71,3,8,0.27476942,0,0
147,72,3,8,0.27476942,0,0
148,73,3,8,0.27476942,0,0
149,74,3,8,0.27476942,0,0
150,75,3,8,0.27476942,0,0
151,76,3,8,0.4112448,0,0
152,77,3,8,0.4112448,0,0
153,78,3,8,0.4112448,0,0
154,79,3,8,0.4112448,0,0
155,80,3,8,0.4112448,0,0
156,81,3,8,0.58270304,0,0
157,82,3,8,0.58270304,0,0
158,83,3,8,0.58270304,0,0
159,84,3,8,0.58270304,0,0
160,85,3,8,0.58270304,0,0
161,86,3,8,0.82195325,0,0
162,87,3,8,0.82195325,0,0
163,88,3,8,0.82195325,0,0
164,89,3,8,0.82195325,0,0
165,90,3,8,0.82195325,0,0
166,91,3,8,1.24193656,0,0
167,92,3,8,1.24193656,0,0
168,93,3,8,1.24193656,0,0
169,94,3,8,1.24193656,0,0
170,95,3,8,1.24193656,0,0
171,96,3,8,1.90872407,0,0
172,97,3,8,1.90872407,0,0
173,98,3,8,1.90872407,0,0
174,99,3,8,1.90872407,0,0
175,100,3,8,1.90872407,0,0
176,101,3,8,3.0382911,0,0
177,102,3,8,3.0382911,0,0
178,103,3,8,3.0382911,0,0
179,104,3,8,3.0382911,0,0
180,105,3,8,3.0382911,0,0
181,106,3,8,4.95246782,0,0
182,107,3,8,4.95246782,0,0
183,108,3,8,4.95246782,0,0
