Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
26,232,119,214,82,13,60
27,211,128,221,81,15,75
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,120,77,111,22,0,10
4,128,58,92,31,4,5
5,166,87,118,32,6,10
6,175,54,122,41,3,15
7,178,73,123,40,3,30
8,163,60,169,39,6,10
9,172,86,146,44,4,5
10,184,82,154,45,3,40
11,161,83,133,49,7,15
12,204,91,154,50,3,45
13,189,92,160,42,7,20
14,186,93,173,46,8,25
15,193,93,169,45,3,30
16,175,83,167,62,5,40
17,188,97,172,52,11,25
18,193,94,180,58,12,35
19,202,91,176,59,10,45
20,209,94,191,64,8,40
21,195,119,190,54,11,50
22,201,110,188,63,10,40
23,191,113,204,67,13,45
24,216,125,209,69,6,50
25,218,106,211,67,8,50
26,227,112,205,81,12,50
27,204,124,216,80,14,55
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,120,77,111,22,0,10
4,121,58,91,31,4,5
5,162,87,116,33,6,10
6,167,54,120,41,3,15
7,169,72,118,39,2,30
8,159,60,157,39,6,10
9,160,85,144,44,3,5
10,176,81,151,44,3,35
11,148,83,130,48,7,10
12,191,88,145,47,2,45
13,168,90,151,42,6,15
14,169,91,166,47,6,25
15,175,92,159,45,1,30
16,172,80,160,61,3,20
17,170,93,170,50,6,15
18,182,94,168,56,9,15
19,183,87,167,57,5,30
20,193,92,185,61,5,30
21,178,113,182,54,5,40
22,179,110,184,61,7,15
23,178,108,195,64,11,30
24,204,118,192,73,3,35
25,195,101,205,67,6,25
26,203,108,197,78,6,35
27,184,118,207,78,13,25
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,353,44,177,42,3,20
4,345,51,181,41,5,30
5,400,55,176,56,3,30
6,381,52,171,42,3,10
7,375,64,171,46,4,10
8,368,57,192,49,6,30
9,373,78,173,51,6,25
10,396,71,167,48,8,25
11,403,71,162,48,13,30
12,379,84,174,45,13,50
13,373,88,174,56,11,75
14,353,78,184,58,7,50
15,353,89,177,51,19,45
16,360,90,177,64,11,85
17,343,83,178,48,18,45
18,366,89,202,50,17,100
19,382,94,159,67,15,105
20,359,120,184,56,20,50
21,362,121,174,51,21,105
22,328,116,167,54,9,125
23,373,108,189,68,16,30
24,323,116,162,61,24,85
25,325,115,173,52,15,105
26,331,114,152,51,22,95
27,323,135,173,54,24,100
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,353,44,177,42,3,20
4,340,51,181,41,5,30
5,396,55,174,56,2,30
6,375,52,168,42,3,5
7,374,64,169,46,3,10
8,356,56,192,49,4,25
9,366,78,168,51,3,20
10,388,71,165,48,7,5
