,Model_id,Model_name,To_state_id,To_state_name,Sex_state_id,Race_state_id,Age,Probability
72,6.0,Physical activity,39.0,Active,34.0,31.0,90.0,0.19899999999999998
73,6.0,Physical activity,39.0,Active,34.0,31.0,91.0,0.19899999999999998
74,6.0,Physical activity,39.0,Active,34.0,31.0,92.0,0.19899999999999998
75,6.0,Physical activity,39.0,Active,34.0,31.0,93.0,0.19899999999999998
76,6.0,Physical activity,39.0,Active,34.0,31.0,94.0,0.19899999999999998
77,6.0,Physical activity,39.0,Active,34.0,31.0,95.0,0.19899999999999998
78,6.0,Physical activity,39.0,Active,34.0,31.0,96.0,0.19899999999999998
79,6.0,Physical activity,39.0,Active,34.0,31.0,97.0,0.19899999999999998
80,6.0,Physical activity,39.0,Active,34.0,31.0,98.0,0.19899999999999998
81,6.0,Physical activity,39.0,Active,34.0,31.0,99.0,0.19899999999999998
82,6.0,Physical activity,39.0,Active,34.0,31.0,100.0,0.19899999999999998
83,6.0,Physical activity,39.0,Active,34.0,31.0,101.0,0.19899999999999998
84,6.0,Physical activity,39.0,Active,34.0,31.0,102.0,0.19899999999999998
85,6.0,Physical activity,39.0,Active,34.0,31.0,103.0,0.19899999999999998
86,6.0,Physical activity,39.0,Active,34.0,31.0,104.0,0.19899999999999998
87,6.0,Physical activity,39.0,Active,34.0,31.0,105.0,0.19899999999999998
88,6.0,Physical activity,39.0,Active,34.0,31.0,106.0,0.19899999999999998
89,6.0,Physical activity,39.0,Active,34.0,31.0,107.0,0.19899999999999998
90,6.0,Physical activity,39.0,Active,34.0,31.0,108.0,0.19899999999999998
91,6.0,Physical activity,39.0,Active,34.0,31.0,109.0,0.19899999999999998
92,6.0,Physical activity,39.0,Active,34.0,31.0,110.0,0.19899999999999998
93,6.0,Physical activity,39.0,Active,34.0,29.0,18.0,0.6579999999999999
94,6.0,Physical activity,39.0,Active,34.0,29.0,19.0,0.6579999999999999
95,6.0,Physical activity,39.0,Active,34.0,29.0,20.0,0.6579999999999999
96,6.0,Physical activity,39.0,Active,34.0,29.0,21.0,0.6579999999999999
97,6.0,Physical activity,39.0,Active,34.0,29.0,22.0,0.6579999999999999
98,6.0,Physical activity,39.0,Active,34.0,29.0,23.0,0.6579999999999999
99,6.0,Physical activity,39.0,Active,34.0,29.0,24.0,0.6579999999999999
100,6.0,Physical activity,39.0,Active,34.0,29.0,25.0,0.5870000000000001
101,6.0,Physical activity,39.0,Active,34.0,29.0,26.0,0.5870000000000001
102,6.0,Physical activity,39.0,Active,34.0,29.0,27.0,0.5870000000000001
103,6.0,Physical activity,39.0,Active,34.0,29.0,28.0,0.5870000000000001
104,6.0,Physical activity,39.0,Active,34.0,29.0,29.0,0.5870000000000001
105,6.0,Physical activity,39.0,Active,34.0,29.0,30.0,0.5870000000000001
106,6.0,Physical activity,39.0,Active,34.0,29.0,31.0,0.5870000000000001
107,6.0,Physical activity,39.0,Active,34.0,29.0,32.0,0.5870000000000001
108,6.0,Physical activity,39.0,Active,34.0,29.0,33.0,0.5870000000000001
109,6.0,Physical activity,39.0,Active,34.0,29.0,34.0,0.5870000000000001
110,6.0,Physical activity,39.0,Active,34.0,29.0,35.0,0.5870000000000001
111,6.0,Physical activity,39.0,Active,34.0,29.0,36.0,0.5870000000000001
112,6.0,Physical activity,39.0,Active,34.0,29.0,37.0,0.5870000000000001
113,6.0,Physical activity,39.0,Active,34.0,29.0,38.0,0.5870000000000001
114,6.0,Physical activity,39.0,Active,34.0,29.0,39.0,0.5870000000000001
115,6.0,Physical activity,39.0,Active,34.0,29.0,40.0,0.5870000000000001
116,6.0,Physical activity,39.0,Active,34.0,29.0,41.0,0.5870000000000001
117,6.0,Physical activity,39.0,Active,34.0,29.0,42.0,0.5870000000000001
118,6.0,Physical activity,39.0,Active,34.0,29.0,43.0,0.5870000000000001
119,6.0,Physical activity,39.0,Active,34.0,29.0,44.0,0.5870000000000001
120,6.0,Physical activity,39.0,Active,34.0,29.0,45.0,0.521
121,6.0,Physical activity,39.0,Active,34.0,29.0,46.0,0.521
122,6.0,Physical activity,39.0,Active,34.0,29.0,47.0,0.521
123,6.0,Physical activity,39.0,Active,34.0,29.0,48.0,0.521
124,6.0,Physical activity,39.0,Active,34.0,29.0,49.0,0.521
125,6.0,Physical activity,39.0,Active,34.0,29.0,50.0,0.521
126,6.0,Physical activity,39.0,Active,34.0,29.0,51.0,0.521
127,6.0,Physical activity,39.0,Active,34.0,29.0,52.0,0.521
128,6.0,Physical activity,39.0,Active,34.0,29.0,53.0,0.521
129,6.0,Physical activity,39.0,Active,34.0,29.0,54.0,0.521
130,6.0,Physical activity,39.0,Active,34.0,29.0,55.0,0.478
131,6.0,Physical activity,39.0,Active,34.0,29.0,56.0,0.478
132,6.0,Physical activity,39.0,Active,34.0,29.0,57.0,0.478
133,6.0,Physical activity,39.0,Active,34.0,29.0,58.0,0.478
134,6.0,Physical activity,39.0,Active,34.0,29.0,59.0,0.478
135,6.0,Physical activity,39.0,Active,34.0,29.0,60.0,0.478
136,6.0,Physical activity,39.0,Active,34.0,29.0,61.0,0.478
137,6.0,Physical activity,39.0,Active,34.0,29.0,62.0,0.478
138,6.0,Physical activity,39.0,Active,34.0,29.0,63.0,0.478
139,6.0,Physical activity,39.0,Active,34.0,29.0,64.0,0.478
140,6.0,Physical activity,39.0,Active,34.0,29.0,65.0,0.43700000000000006
141,6.0,Physical activity,39.0,Active,34.0,29.0,66.0,0.43700000000000006
142,6.0,Physical activity,39.0,Active,34.0,29.0,67.0,0.43700000000000006
143,6.0,Physical activity,39.0,Active,34.0,29.0,68.0,0.43700000000000006
144,6.0,Physical activity,39.0,Active,34.0,29.0,69.0,0.43700000000000006
145,6.0,Physical activity,39.0,Active,34.0,29.0,70.0,0.43700000000000006
146,6.0,Physical activity,39.0,Active,34.0,29.0,71.0,0.43700000000000006
147,6.0,Physical activity,39.0,Active,34.0,29.0,72.0,0.43700000000000006
148,6.0,Physical activity,39.0,Active,34.0,29.0,73.0,0.43700000000000006
149,6.0,Physical activity,39.0,Active,34.0,29.0,74.0,0.43700000000000006
150,6.0,Physical activity,39.0,Active,34.0,29.0,75.0,0.37200000000000005
151,6.0,Physical activity,39.0,Active,34.0,29.0,76.0,0.37200000000000005
152,6.0,Physical activity,39.0,Active,34.0,29.0,77.0,0.37200000000000005
153,6.0,Physical activity,39.0,Active,34.0,29.0,78.0,0.37200000000000005
154,6.0,Physical activity,39.0,Active,34.0,29.0,79.0,0.37200000000000005
155,6.0,Physical activity,39.0,Active,34.0,29.0,80.0,0.37200000000000005
156,6.0,Physical activity,39.0,Active,34.0,29.0,81.0,0.37200000000000005
157,6.0,Physical activity,39.0,Active,34.0,29.0,82.0,0.37200000000000005
158,6.0,Physical activity,39.0,Active,34.0,29.0,83.0,0.37200000000000005
159,6.0,Physical activity,39.0,Active,34.0,29.0,84.0,0.37200000000000005
160,6.0,Physical activity,39.0,Active,34.0,29.0,85.0,0.212
161,6.0,Physical activity,39.0,Active,34.0,29.0,86.0,0.212
162,6.0,Physical activity,39.0,Active,34.0,29.0,87.0,0.212
163,6.0,Physical activity,39.0,Active,34.0,29.0,88.0,0.212
164,6.0,Physical activity,39.0,Active,34.0,29.0,89.0,0.212
165,6.0,Physical activity,39.0,Active,34.0,29.0,90.0,0.212
166,6.0,Physical activity,39.0,Active,34.0,29.0,91.0,0.212
167,6.0,Physical activity,39.0,Active,34.0,29.0,92.0,0.212
168,6.0,Physical activity,39.0,Active,34.0,29.0,93.0,0.212
169,6.0,Physical activity,39.0,Active,34.0,29.0,94.0,0.212
170,6.0,Physical activity,39.0,Active,34.0,29.0,95.0,0.212
171,6.0,Physical activity,39.0,Active,34.0,29.0,96.0,0.212
