Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,202,57,116,36,6,10
4,200,73,152,37,0,40
5,226,62,131,34,3,5
6,212,98,136,40,0,10
7,236,69,149,42,2,15
8,251,71,150,52,2,0
9,244,80,161,49,2,10
10,247,80,152,42,4,5
11,240,71,142,55,3,10
12,224,77,153,37,3,30
13,255,101,142,45,7,5
14,265,80,174,43,5,35
15,250,93,156,57,7,10
16,276,117,153,44,7,30
17,262,107,156,48,3,50
18,286,114,160,34,5,15
19,293,126,149,39,7,20
20,250,112,150,49,4,30
21,270,121,159,55,9,10
22,257,104,168,51,9,55
23,267,133,165,49,8,45
24,267,139,182,38,12,50
25,266,150,176,46,9,40
26,261,156,167,57,19,35
27,280,172,153,44,8,95
