Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,217,66,137,26,0,25
4,241,65,141,46,4,5
5,210,61,155,52,2,10
6,252,70,116,40,5,15
7,230,77,144,48,1,20
8,245,76,149,39,4,5
9,264,98,160,40,3,25
10,247,79,139,54,2,15
11,240,95,141,46,1,10
12,268,97,145,44,8,15
13,232,100,142,52,5,25
14,261,92,167,52,3,25
15,293,103,161,44,8,25
16,264,100,154,54,6,25
17,270,101,136,43,10,20
18,252,118,174,52,5,45
19,262,128,147,51,6,35
20,240,110,178,34,9,25
21,255,131,159,51,12,30
22,282,127,152,40,10,45
23,259,144,182,52,14,75
24,268,128,168,41,8,60
25,257,136,171,54,7,45
26,259,137,178,40,10,45
27,290,144,162,50,12,35
