Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,211,89,134,34,0,10
4,232,46,140,36,3,10
5,213,67,141,45,0,10
6,244,78,146,44,1,20
7,252,89,137,35,4,5
8,250,76,153,49,4,5
9,271,76,136,39,3,15
10,261,94,154,46,3,20
11,232,108,155,43,5,20
12,252,93,132,64,6,10
13,248,107,140,33,6,20
14,259,103,142,42,5,10
15,254,89,144,43,7,45
16,267,113,147,38,3,40
17,257,114,142,50,5,10
18,294,117,160,48,5,30
19,249,117,168,57,15,35
20,257,118,147,53,12,45
21,287,129,166,41,8,45
22,297,135,164,36,13,40
23,267,124,151,51,11,65
24,261,143,173,53,13,65
25,258,148,203,46,10,55
26,245,135,172,56,12,45
27,277,156,193,42,9,75
