Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,218,75,132,38,2,20
4,207,72,126,41,2,10
5,222,72,131,56,2,15
6,217,60,135,40,1,5
7,230,74,128,37,3,15
8,249,88,159,38,4,15
9,252,79,133,43,2,20
10,259,84,158,55,4,5
11,267,91,130,36,3,10
12,237,88,143,47,2,15
13,264,78,122,52,5,10
14,244,96,142,33,3,20
15,235,101,151,52,9,20
16,242,106,146,40,5,30
17,241,78,145,39,3,35
18,237,110,156,39,13,15
19,263,104,146,37,7,25
20,239,123,166,40,6,45
21,240,136,170,45,6,55
22,240,121,173,52,8,30
23,275,120,167,46,8,25
24,259,157,160,57,10,35
25,260,135,154,49,16,50
26,267,154,137,46,5,75
27,250,128,159,55,7,55
