Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,204,61,137,47,1,15
4,232,81,153,32,2,10
5,201,77,138,55,2,15
6,231,71,135,46,3,15
7,241,83,140,26,1,15
8,244,75,138,45,1,10
9,230,85,129,53,2,0
10,265,87,131,33,4,15
11,263,78,143,49,3,25
12,237,80,174,40,6,5
13,288,88,140,53,1,20
14,233,105,152,58,7,10
15,255,103,157,53,5,45
16,283,89,176,36,4,15
17,282,104,169,46,7,20
18,250,105,157,45,8,25
19,259,103,177,48,9,30
20,271,116,155,54,5,35
21,258,121,175,48,8,45
22,297,132,161,68,13,35
23,290,128,151,46,9,40
24,268,174,168,54,15,35
25,303,148,157,47,11,40
26,270,136,180,42,6,95
27,257,155,171,45,7,40
