Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,214,67,131,33,0,5
4,244,65,138,40,0,10
5,219,72,130,45,4,5
6,199,73,130,35,2,10
7,266,70,151,40,4,5
8,217,80,139,44,1,20
9,234,81,154,45,3,15
10,222,87,133,35,4,20
11,259,79,138,49,3,15
12,279,86,131,41,3,5
13,287,99,166,39,7,15
14,240,88,135,58,7,30
15,241,99,146,36,1,40
16,241,113,129,45,7,15
17,260,100,159,54,8,10
18,280,120,164,41,1,25
19,258,121,180,36,2,40
20,247,123,152,37,10,20
21,232,122,165,35,7,30
22,261,121,155,39,6,40
23,269,94,149,44,7,20
24,276,130,166,42,5,35
25,257,142,176,52,17,25
26,281,138,162,54,12,45
27,232,137,180,55,17,70
