Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,246,68,132,41,1,10
4,217,63,134,39,2,20
5,234,65,141,36,1,10
6,242,56,128,40,3,10
7,211,84,156,46,3,10
8,223,92,153,39,2,15
9,241,93,142,46,5,10
10,260,90,146,38,2,10
11,229,88,146,47,5,15
12,251,101,154,47,3,20
13,253,89,139,36,7,10
14,283,94,157,45,5,30
15,265,93,164,52,6,30
16,253,111,140,31,6,25
17,258,112,140,41,7,35
18,289,113,157,53,6,50
19,263,114,136,57,8,20
20,264,117,178,51,10,25
21,291,160,158,40,12,10
22,272,123,163,49,14,65
23,276,128,165,41,9,40
24,284,120,150,48,7,90
25,241,142,159,57,8,30
26,269,144,168,41,8,45
27,291,142,170,46,10,60
