Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,233,68,110,33,2,15
4,240,71,137,39,0,10
5,230,91,140,56,1,5
6,210,91,157,41,4,5
7,229,90,139,34,1,10
8,235,73,123,35,2,5
9,233,87,155,43,3,15
10,229,77,157,46,1,15
11,234,82,134,51,5,10
12,241,96,141,50,2,5
13,217,98,130,45,2,10
14,230,112,150,43,6,15
15,246,86,160,47,1,30
16,232,106,146,37,3,10
17,222,102,154,28,3,10
18,256,138,146,56,3,25
19,252,108,163,45,2,25
20,214,138,151,46,6,10
21,244,122,162,44,5,10
22,192,114,138,55,4,35
23,216,135,157,49,7,20
24,225,127,140,49,5,30
25,224,127,180,48,6,15
26,240,121,148,41,10,30
27,259,135,159,50,4,15
