Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,215,65,154,31,4,20
4,203,90,146,36,4,0
5,220,70,130,28,2,30
6,191,75,141,48,2,10
7,250,59,145,45,1,5
8,240,69,120,45,2,5
9,235,72,154,31,3,10
10,275,84,133,39,3,20
11,226,74,139,47,2,15
12,237,93,161,51,4,5
13,233,120,157,47,3,15
14,262,117,149,50,8,20
15,265,114,170,42,7,45
16,257,93,147,52,7,35
17,234,101,138,43,10,25
18,246,112,162,50,12,45
19,263,104,150,46,8,55
20,251,116,164,44,8,40
21,265,138,160,33,13,45
22,229,131,182,42,9,55
23,262,125,174,46,7,40
24,244,154,153,40,3,50
25,262,133,172,40,10,15
26,236,145,159,56,5,30
27,276,144,144,52,10,55
