Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,192,65,147,48,1,30
4,216,62,158,48,1,0
5,241,72,165,44,1,0
6,232,79,158,47,1,15
7,221,85,142,40,2,15
8,241,69,154,41,4,5
9,247,76,142,45,3,10
10,268,107,157,39,3,10
11,261,90,174,44,6,10
12,242,87,187,54,8,40
13,250,109,162,57,4,50
14,241,95,169,46,5,15
15,251,118,172,41,1,30
16,239,110,191,46,5,5
17,246,120,200,46,4,20
18,265,127,207,52,7,30
19,249,118,155,58,9,15
20,249,122,181,62,6,40
21,225,111,179,44,5,40
22,257,126,178,44,8,30
23,261,139,201,39,5,30
24,291,140,176,64,7,30
25,255,121,180,34,9,15
26,249,178,180,71,10,45
27,252,129,200,54,8,55
