Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,178,39,119,35,1,10
4,235,65,140,36,3,5
5,209,67,140,43,1,15
6,200,65,128,38,3,10
7,259,67,125,46,1,20
8,249,80,142,41,2,15
9,227,60,128,43,2,5
10,230,82,146,42,1,5
11,219,80,125,40,5,10
12,236,74,137,36,1,15
13,229,86,153,45,6,15
14,252,98,151,40,3,15
15,253,107,133,32,1,15
16,240,108,154,41,4,15
17,230,107,145,50,1,30
18,244,104,144,50,1,0
19,234,104,155,45,4,5
20,219,103,155,51,2,20
21,248,125,150,63,4,15
22,256,120,149,45,4,20
23,240,117,151,51,4,30
24,242,111,149,43,11,10
25,237,140,166,52,5,40
26,211,151,151,34,6,25
27,239,124,160,52,6,40
