Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,227,55,144,54,0,0
4,183,67,138,34,0,15
5,224,69,127,34,2,15
6,219,86,142,34,2,15
7,242,72,137,43,3,10
8,240,73,141,52,5,10
9,242,73,144,56,4,30
10,267,83,158,39,1,15
11,243,87,151,33,3,5
12,273,78,163,39,4,15
13,289,109,162,43,5,15
14,258,110,141,48,4,30
15,247,104,169,47,7,20
16,260,124,164,57,2,20
17,241,116,162,44,4,25
18,257,117,160,42,4,25
19,268,123,202,40,13,15
20,253,132,153,45,10,30
21,261,133,154,55,6,40
22,270,124,174,39,9,45
23,274,140,169,57,7,55
24,273,134,153,39,9,30
25,245,147,165,55,15,45
26,209,148,162,46,10,65
27,267,151,169,39,12,70
