Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,227,55,144,54,0,0
4,183,67,138,34,0,15
5,222,69,127,34,2,15
6,215,86,140,34,2,15
7,235,72,137,43,3,10
8,236,72,140,52,5,10
9,237,73,139,56,3,30
10,262,83,155,39,1,15
11,237,86,151,32,3,0
12,265,78,160,39,3,15
13,278,109,155,43,5,15
14,249,109,138,48,4,30
15,245,103,165,47,7,15
16,250,121,161,57,2,20
17,230,115,158,44,2,25
18,248,115,157,42,4,20
19,262,123,197,39,10,15
20,245,131,150,44,7,25
21,247,133,154,54,6,25
22,265,120,162,39,7,40
23,266,140,164,57,6,45
24,263,133,145,40,6,20
25,229,145,162,56,14,35
26,202,143,159,46,7,55
27,259,146,164,39,11,60
