Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,220,62,151,46,1,10
4,240,79,140,41,1,10
5,197,68,141,38,3,0
6,254,78,147,42,2,5
7,257,84,123,47,4,25
8,247,76,141,43,0,20
9,230,77,151,43,3,15
10,254,95,161,38,2,10
11,198,88,117,43,7,15
12,246,73,153,51,9,25
13,249,91,147,46,6,35
14,225,78,138,55,4,35
15,262,83,160,36,3,25
16,279,113,162,45,5,20
17,272,102,149,61,7,20
18,291,139,153,43,4,30
19,264,131,159,35,6,10
20,243,121,152,59,11,25
21,250,140,172,47,5,40
22,271,141,160,51,5,35
23,249,125,163,40,5,35
24,280,116,170,44,9,25
25,255,169,177,54,13,50
26,242,113,175,55,12,45
27,251,158,174,50,9,35
