Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,178,74,126,33,3,15
4,223,80,143,41,1,15
5,241,71,142,40,0,5
6,204,69,123,49,1,10
7,233,74,126,45,6,0
8,229,76,150,53,3,20
9,253,74,142,50,0,20
10,282,82,132,60,2,10
11,239,83,147,48,3,0
12,270,112,153,71,5,25
13,231,113,152,58,4,25
14,229,105,157,55,2,15
15,243,92,175,62,4,5
16,254,111,153,56,5,25
17,259,109,138,55,4,15
18,256,99,140,59,7,20
19,271,88,149,55,6,25
20,280,127,160,73,8,30
21,240,130,137,58,5,35
22,242,138,187,75,10,30
23,265,126,180,59,5,35
24,225,123,161,76,9,40
25,254,118,168,75,5,25
26,241,132,156,67,7,20
27,257,132,164,62,9,40
