Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,189,66,121,25,2,5
4,188,64,122,36,5,25
5,230,63,132,33,3,30
6,232,59,163,40,0,20
7,223,77,152,35,1,10
8,248,70,142,44,2,5
9,223,81,152,47,2,15
10,245,90,147,39,2,15
11,246,86,147,40,3,5
12,243,98,148,40,3,10
13,261,97,142,47,7,25
14,236,89,130,38,4,5
15,255,98,141,42,3,25
16,269,112,137,42,1,30
17,251,99,166,43,4,20
18,253,107,170,32,5,20
19,258,122,168,58,2,5
20,269,109,173,41,5,15
21,272,117,163,44,4,35
22,234,112,133,45,7,15
23,261,152,154,48,8,35
24,264,153,174,57,9,25
25,253,137,158,39,3,40
26,288,135,144,61,12,30
27,277,155,162,44,6,45
