Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,201,57,127,28,2,10
4,231,64,147,46,1,0
5,235,69,152,43,2,5
6,233,66,145,52,4,5
7,237,57,150,45,4,10
8,233,71,141,52,2,35
9,243,81,138,44,4,10
10,241,85,147,39,6,5
11,255,76,140,56,4,35
12,256,94,139,45,6,35
13,249,79,158,38,4,20
14,243,102,143,37,5,20
15,251,106,144,42,4,25
16,254,128,161,50,7,15
17,268,111,159,47,2,20
18,236,108,182,51,8,30
19,281,135,144,39,10,15
20,283,122,156,48,5,35
21,248,140,181,55,3,50
22,261,122,163,45,16,30
23,264,109,154,51,9,55
24,259,145,155,47,11,30
25,259,144,163,44,10,65
26,244,158,168,47,14,45
27,286,128,183,44,14,50
