Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,207,69,132,37,4,10
4,224,62,132,51,2,5
5,218,77,124,36,2,20
6,237,65,128,52,2,20
7,215,78,157,57,1,10
8,252,69,122,40,1,10
9,244,74,165,32,4,15
10,220,84,148,57,4,10
11,244,94,151,43,5,15
12,246,84,149,51,4,10
13,260,99,173,33,4,25
14,260,96,174,39,8,20
15,275,98,134,47,5,55
16,237,102,194,42,4,20
17,261,99,163,47,3,30
18,304,102,158,50,8,20
19,252,141,160,40,12,25
20,237,122,154,42,11,50
21,253,133,186,56,6,40
22,263,117,148,47,9,55
23,272,116,175,53,10,30
24,273,146,145,50,10,40
25,283,141,165,38,14,55
26,255,155,147,46,13,80
27,281,125,160,47,13,45
