Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,204,64,131,51,1,10
4,203,68,130,52,0,5
5,206,70,144,43,2,0
6,209,91,114,43,0,0
7,212,82,121,30,3,0
8,234,62,147,44,1,25
9,259,89,143,32,3,0
10,251,93,140,44,1,20
11,239,88,119,43,4,5
12,251,92,136,39,4,15
13,247,92,155,35,1,5
14,273,79,132,47,2,20
15,253,94,149,45,5,10
16,240,108,143,43,3,10
17,246,102,156,42,4,10
18,244,130,154,44,8,15
19,257,88,147,58,4,20
20,200,112,187,46,3,35
21,272,129,163,34,6,20
22,230,123,161,50,5,25
23,222,133,160,51,4,30
24,232,115,162,51,5,35
25,246,143,164,46,6,15
26,235,122,168,47,9,20
27,221,141,149,56,7,30
