Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,230,86,130,22,0,30
4,217,75,145,38,4,0
5,221,73,137,35,0,15
6,244,66,141,39,2,0
7,244,78,138,48,3,5
8,276,79,141,43,5,15
9,245,89,118,43,3,10
10,283,91,140,44,7,15
11,252,93,172,44,3,20
12,248,87,144,46,4,25
13,265,98,157,43,2,40
14,265,94,145,50,5,15
15,285,102,163,47,5,15
16,250,110,171,26,6,25
17,271,150,177,43,5,25
18,283,118,159,56,6,25
19,273,120,150,52,7,30
20,257,113,169,48,8,35
21,249,134,172,37,7,45
22,253,126,165,43,7,25
23,246,138,146,44,10,35
24,277,142,196,57,4,40
25,227,114,178,56,13,30
26,275,150,176,45,11,45
27,296,127,181,37,9,65
