Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,200,63,144,39,2,10
4,223,75,148,46,4,25
5,219,57,135,36,4,10
6,200,71,138,31,1,15
7,221,51,125,39,4,15
8,207,59,154,49,4,10
9,262,79,143,41,4,25
10,248,96,127,43,0,15
11,250,83,131,44,6,10
12,246,91,128,35,2,20
13,252,96,137,48,8,20
14,237,105,149,46,8,15
15,268,91,165,37,7,35
16,258,111,135,38,5,30
17,245,111,147,44,4,35
18,257,96,145,56,5,20
19,262,116,166,48,9,25
20,248,112,152,48,7,40
21,241,126,154,37,11,45
22,288,129,162,62,7,55
23,262,139,154,37,9,40
24,282,123,163,45,7,45
25,257,154,174,48,6,20
26,245,139,190,39,12,30
27,252,144,163,35,8,65
