Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,217,52,140,46,1,10
4,216,55,146,43,1,0
5,232,68,142,36,4,10
6,199,71,144,44,0,20
7,226,69,134,48,1,0
8,232,67,135,51,2,5
9,261,73,147,55,2,0
10,238,99,148,42,3,10
11,240,96,158,38,9,20
12,255,97,130,51,2,25
13,238,104,140,39,4,25
14,258,108,161,62,10,20
15,275,88,155,56,8,15
16,258,86,138,44,4,55
17,249,114,156,52,8,35
18,264,103,156,51,8,35
19,266,113,150,48,8,40
20,281,110,180,50,7,30
21,255,116,181,46,10,35
22,243,142,157,46,7,55
23,290,141,166,47,11,15
24,262,146,167,53,14,60
25,241,140,172,47,15,65
26,259,154,166,59,9,65
27,253,153,186,48,8,30
