Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,220,59,142,38,1,30
4,215,71,137,41,2,5
5,235,65,108,39,2,10
6,234,82,136,42,2,15
7,225,86,132,44,4,10
8,208,81,129,43,6,10
9,226,83,147,35,0,20
10,241,74,154,42,2,20
11,240,95,164,40,2,0
12,234,101,136,51,4,15
13,233,93,146,47,4,5
14,242,95,161,47,5,25
15,245,124,136,47,8,30
16,247,123,131,58,3,15
17,238,112,145,46,2,15
18,297,119,135,52,4,30
19,236,91,175,49,2,15
20,219,116,152,46,5,25
21,259,121,143,46,8,10
22,246,128,157,49,3,40
23,250,127,148,49,8,20
24,277,143,140,43,11,40
25,219,138,170,33,7,25
26,246,149,155,47,5,60
27,267,134,148,56,7,35
