Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,201,61,147,42,0,30
4,214,67,140,37,2,0
5,234,65,142,42,3,10
6,212,64,149,37,3,15
7,198,94,133,47,1,10
8,237,81,144,46,3,10
9,240,76,140,39,3,10
10,245,79,157,43,3,15
11,224,78,137,40,2,15
12,249,83,127,46,9,15
13,257,81,186,38,4,35
14,269,85,165,36,4,25
15,243,117,133,33,5,30
16,248,92,164,42,6,20
17,234,130,155,56,4,35
18,272,102,158,38,5,20
19,256,117,143,33,4,25
20,254,116,149,47,7,30
21,245,126,126,57,4,15
22,222,118,163,55,9,35
23,264,140,155,50,10,45
24,267,130,155,46,7,35
25,266,110,173,51,10,35
26,264,144,170,50,11,45
27,253,141,182,61,7,40
