Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,188,57,142,35,0,0
4,226,70,124,34,2,5
5,214,66,131,38,3,10
6,210,86,133,55,0,20
7,233,80,137,48,2,0
8,238,82,145,30,2,0
9,226,77,119,49,4,15
10,214,81,111,46,2,10
11,244,84,122,44,2,5
12,236,78,133,51,8,10
13,238,79,143,33,1,35
14,267,109,147,44,2,25
15,279,84,135,39,3,5
16,236,104,133,44,5,30
17,265,94,157,48,6,10
18,276,101,143,37,8,25
19,244,115,167,46,8,25
20,269,99,141,31,7,55
21,240,112,146,31,4,35
22,262,108,130,41,8,20
23,221,106,138,35,10,20
24,237,119,147,32,5,35
25,234,108,142,36,6,45
26,246,136,131,33,8,40
27,260,122,149,32,8,30
