Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,219,63,127,27,2,5
4,211,57,139,25,4,5
5,225,72,128,45,0,5
6,219,65,139,44,2,15
7,274,82,132,49,3,5
8,237,83,154,33,3,30
9,225,93,149,47,2,5
10,253,93,154,58,2,5
11,242,69,159,42,1,5
12,275,91,153,41,5,10
13,250,84,147,39,7,20
14,276,92,151,37,3,40
15,257,98,166,38,8,20
16,253,127,140,41,5,25
17,266,93,163,51,5,35
18,262,111,159,66,6,40
19,270,125,162,38,5,35
20,249,107,138,47,7,5
21,300,116,161,44,11,30
22,293,123,176,56,6,45
23,253,116,167,51,6,50
24,271,124,170,58,10,35
25,293,150,159,46,11,40
26,254,128,149,47,11,30
27,244,150,177,48,9,75
