Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,200,66,122,36,3,20
4,226,74,139,37,3,10
5,218,49,135,53,3,30
6,230,60,125,33,4,15
7,223,76,141,43,3,15
8,222,86,148,50,5,25
9,240,96,153,44,1,30
10,236,78,129,49,2,0
11,247,107,113,43,3,10
12,245,99,129,41,2,20
13,237,98,138,41,3,10
14,236,81,148,40,5,10
15,225,84,162,43,3,15
16,238,114,135,50,12,30
17,231,100,162,50,3,10
18,255,126,159,47,4,40
19,224,118,142,38,13,25
20,230,108,136,43,0,45
21,229,116,146,37,4,35
22,215,133,137,36,2,15
23,238,106,142,40,9,35
24,220,130,141,39,6,25
25,242,113,156,49,7,25
26,221,133,135,43,10,30
27,236,138,154,40,8,45
