Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,210,77,123,38,4,15
4,217,61,134,40,5,10
5,191,65,136,53,2,45
6,239,51,134,31,1,20
7,230,76,130,45,1,5
8,230,76,160,47,4,15
9,241,97,148,51,2,10
10,245,73,143,32,4,0
11,233,73,142,44,1,10
12,235,82,137,45,3,15
13,253,97,167,42,3,25
14,252,106,137,47,7,10
15,244,94,145,43,1,25
16,244,98,153,43,3,20
17,271,107,171,53,9,15
18,258,86,187,42,7,15
19,247,122,152,38,7,30
20,270,107,166,50,7,40
21,277,127,166,44,10,40
22,267,133,152,51,8,40
23,301,145,156,58,12,40
24,260,133,178,53,9,30
25,291,136,177,48,8,50
26,275,153,186,45,8,45
27,257,147,180,39,9,45
