Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,213,79,144,41,3,20
4,222,77,132,34,2,25
5,228,73,129,40,1,10
6,254,64,131,45,0,5
7,235,83,142,42,4,5
8,247,54,144,46,1,10
9,223,76,139,51,2,5
10,260,82,145,39,1,10
11,247,76,148,37,1,10
12,284,79,146,36,4,10
13,251,88,178,44,8,5
14,254,101,171,44,8,10
15,235,113,180,45,7,20
16,259,98,147,44,6,45
17,257,118,154,56,6,55
18,270,94,165,32,6,20
19,275,119,150,38,6,30
20,280,122,175,43,8,20
21,267,132,166,42,11,55
22,277,125,163,50,12,50
23,273,131,158,35,8,55
24,258,157,207,53,8,30
25,275,151,168,58,14,30
26,255,151,170,56,16,80
27,266,138,153,51,13,60
