Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,196,63,139,43,1,35
4,196,67,137,27,0,10
5,200,59,147,45,2,5
6,243,73,129,42,4,10
7,214,69,137,40,2,15
8,228,78,121,57,2,5
9,235,72,122,53,3,5
10,215,82,142,38,1,25
11,232,77,132,48,2,0
12,260,94,119,40,4,15
13,219,92,127,45,1,30
14,240,76,154,39,3,15
15,242,99,131,47,3,10
16,205,97,172,40,4,10
17,241,98,161,40,3,25
18,222,90,153,52,7,5
19,266,105,158,35,8,25
20,236,104,140,39,3,25
21,244,128,135,53,8,30
22,237,112,132,43,5,30
23,232,131,168,47,4,40
24,223,128,132,50,10,15
25,244,131,167,48,5,20
26,276,147,163,43,1,35
27,237,137,134,41,6,25
