Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,201,62,111,40,2,10
4,221,67,142,37,3,0
5,216,64,122,31,1,15
6,229,58,137,34,2,5
7,276,72,138,41,2,10
8,250,77,142,38,2,5
9,238,75,122,44,4,10
10,248,82,162,51,3,15
11,223,82,142,60,4,10
12,263,97,130,53,5,25
13,262,101,141,38,6,20
14,262,89,141,38,2,35
15,281,89,160,41,4,20
16,249,116,150,47,8,15
17,281,108,149,47,5,40
18,259,110,170,41,3,25
19,240,142,179,49,7,25
20,276,118,175,47,8,30
21,288,118,167,54,15,35
22,242,136,167,50,10,60
23,276,125,161,47,8,45
24,263,152,166,52,12,40
25,250,135,167,56,16,65
26,275,156,163,46,18,60
27,260,149,170,52,7,75
