Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,202,61,119,39,0,10
4,219,79,125,35,0,15
5,212,75,135,38,2,5
6,218,90,136,52,0,10
7,229,74,127,44,5,5
8,238,69,128,27,2,5
9,237,78,143,39,4,15
10,204,75,155,38,2,20
11,237,95,150,37,5,5
12,237,88,126,38,1,20
13,248,99,121,39,7,10
14,226,95,149,44,2,15
15,221,92,147,51,3,25
16,235,112,138,36,3,15
17,241,80,155,44,3,20
18,235,115,176,50,5,40
19,251,100,155,45,5,15
20,258,115,167,41,6,15
21,217,126,145,46,7,20
22,228,121,147,47,8,50
23,240,120,169,57,7,10
24,238,115,180,51,9,45
25,231,139,149,49,5,65
26,230,140,152,42,11,15
27,236,145,147,63,10,25
