Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,216,76,128,33,4,20
4,221,58,140,39,0,15
5,223,70,139,38,3,5
6,241,68,127,48,1,10
7,246,91,136,41,4,25
8,221,84,144,41,0,10
9,260,74,123,48,3,5
10,241,89,131,40,3,20
11,223,79,146,42,6,5
12,256,99,145,46,4,25
13,241,86,160,28,7,20
14,255,88,139,60,4,30
15,258,93,149,42,4,20
16,272,102,148,33,7,35
17,254,124,137,46,3,20
18,275,105,166,52,7,15
19,264,121,141,48,11,30
20,286,124,175,41,5,45
21,290,132,149,45,11,35
22,266,113,171,48,9,40
23,241,149,160,49,6,50
24,259,111,184,41,10,40
25,254,150,154,62,5,45
26,259,133,136,61,11,25
27,248,148,160,53,10,45
