Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,217,68,153,55,0,25
4,215,82,141,38,2,10
5,239,67,141,42,2,15
6,251,77,132,42,1,10
7,229,79,131,40,3,20
8,215,85,135,38,2,0
9,222,84,134,40,1,5
10,220,92,133,38,3,10
11,259,81,129,40,5,15
12,252,90,141,46,4,5
13,242,95,135,52,4,25
14,254,74,151,33,4,20
15,230,98,151,41,3,15
16,267,110,135,46,3,35
17,263,109,159,49,3,15
18,246,110,145,46,7,15
19,216,126,160,41,5,20
20,242,121,138,56,5,20
21,248,123,180,43,7,30
22,225,111,145,66,6,30
23,221,137,139,43,9,20
24,229,157,137,42,8,40
25,265,128,130,42,7,45
26,241,138,153,50,9,30
27,251,127,160,45,14,60
