Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,221,76,127,32,1,5
4,221,80,147,39,1,10
5,232,66,156,39,2,0
6,216,79,152,52,3,10
7,233,72,118,50,0,0
8,207,63,136,43,3,20
9,219,75,152,44,7,10
10,266,85,150,44,3,20
11,223,87,136,31,2,15
12,223,107,119,46,4,20
13,229,106,152,39,6,10
14,228,86,133,48,4,10
15,248,95,155,47,4,20
16,231,102,154,60,1,15
17,238,112,162,47,6,25
18,214,113,157,40,2,50
19,240,94,133,45,7,20
20,256,124,128,43,7,15
21,239,113,144,52,9,25
22,264,132,141,49,5,30
23,231,122,140,44,6,40
24,232,125,153,49,7,20
25,252,150,140,64,3,30
26,265,139,151,47,6,30
27,228,117,156,43,11,35
