Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,219,80,136,38,1,30
4,214,59,124,38,3,15
5,204,77,117,42,3,5
6,215,61,141,41,2,5
7,233,69,137,52,2,5
8,243,67,125,40,4,20
9,239,82,131,55,1,10
10,226,68,159,40,3,15
11,244,84,138,55,1,10
12,256,88,141,45,3,15
13,240,91,148,49,5,15
14,248,87,153,39,5,20
15,261,102,141,52,5,30
16,235,107,140,46,6,25
17,231,122,141,36,5,25
18,254,116,171,39,5,20
19,291,119,163,46,7,15
20,275,119,168,49,11,35
21,276,135,153,59,7,40
22,278,145,163,51,6,50
23,254,116,158,44,10,40
24,266,111,145,52,8,20
25,248,141,187,52,11,35
26,247,145,170,52,2,55
27,282,154,162,50,9,40
